itemLabel,universeLabel
Bibbo Bibbowski,DC
Black Fury,Marvel
Black Rider,Marvel
Bliss,Wildstorm
Blue Eagle,Marvel
Bluebird,Marvel
Bluebird,Earth-616
Scorn,DC
Brain Drain,Marvel
Breach,DC
Brutale,DC
Everyman,Marvel
Cameron Hodge,Marvel
Cameron Hodge,Earth-616
Captain,Marvel
Captain Ultra,Marvel
Challenger,Marvel
Challenger,Earth-616
Chris KL-99,DC
Cinderblock,DC
Claw the Unconquered,DC
Clock,DC
Clown,Marvel
Combat Colin,Marvel
Condition Red,Wildstorm
Construct,DC
Cyberface,Image
DSpayre,Marvel
DSpayre,Earth-616
Dan Turpin,DC
R2-D2,Star Wars
R2-D2,Star Wars
General Grievous,Star Wars
Cad Bane,Star Wars
Cad Bane,Star Wars
Jubilee,Marvel
Superman,DC
Ronin,Marvel
Hangman,Marvel
Hangman,Earth-616
Freedom Ring,Marvel
Freedom Ring,Earth-616
Lord Conquest,DC
Moominpappa,Moomin world
Krang,Teenage Mutant Ninja Turtles
Captain Atom,DC
Voodoo,DC
Eivor,Assassin's Creed
Black Canary (Dinah Drake),DC
Black Canary (Dinah Lance),DC
Goro Akechi,Persona
Kendra Saunders,Arrowverse
Poison Ivy,DC
Tikkes,Star Wars
Ultimate Spider-Woman,Marvel
Eye-Scream,Marvel
Dancing Water,Marvel
Dancing Water,Earth-616
Q45132153,World of Troy
Q45312518,World of Troy
Shayera Thal,DC
King Arthur,Marvel
King Arthur,Earth-616
Chay-Ara,DC
Nabu,DC
Bigby Wolf,Fables
Jai West,DC
Wonder Woman,DC
Themis,DC
Don Allen,DC
Sideways,DC
Aaron Cash,DC
Fei Lian,Marvel
Fei Lian,Earth-616
Medic,Team Fortress
Gangbang (Superhero Landing),Superhero Landing
Harpy,DC
Cloak,Marvel
Cloak,Earth-616
Red Dart,DC
Private Plato,Beetle Bailey
Alpha,The Walking Dead
Krishna,Supergod
Doctor Aphra,Star Wars
Lydia,The Walking Dead Television
Lydia,The Walking Dead Comic
Vriska Serket,Homestuck multiverse
Ajak,Marvel Cinematic
Ikaris,Marvel Cinematic
Gilgamesh,Marvel Cinematic
Makkari,Marvel Cinematic
Phastos,Marvel Cinematic
Sprite,Marvel Cinematic
Thena,Marvel Cinematic
Kingo Sunen,Marvel Cinematic
Goose,Marvel Cinematic
Soren,Marvel Cinematic
Norex,Marvel Cinematic
Niles Van Roekel,Marvel
Dask,Teenage Mutant Ninja Turtles
Zak,Teenage Mutant Ninja Turtles
Kala,Teenage Mutant Ninja Turtles
Tribble,Teenage Mutant Ninja Turtles
Zenter,Teenage Mutant Ninja Turtles
Klaatu,Teenage Mutant Ninja Turtles
Barada,Teenage Mutant Ninja Turtles
Nikto,Teenage Mutant Ninja Turtles
Gizzla,Teenage Mutant Ninja Turtles
Nakamura,Teenage Mutant Ninja Turtles
Dask,Teenage Mutant Ninja Turtles
Kala,Teenage Mutant Ninja Turtles
Zak,Teenage Mutant Ninja Turtles
AG Parr,Teenage Mutant Ninja Turtles
Kala,Teenage Mutant Ninja Turtles
Dask,Teenage Mutant Ninja Turtles
Zak,Teenage Mutant Ninja Turtles
Trib,Teenage Mutant Ninja Turtles
Felix,Teenage Mutant Ninja Turtles
Zenter,Teenage Mutant Ninja Turtles
Gizzla,Teenage Mutant Ninja Turtles
Voodoo,Wildstorm
Mary Marvel,DC
Edwin Jarvis,Marvel
Edwin Jarvis,Earth-616
Baron Strucker,Marvel
Snork,Moomin world
Brainiac,DC
Uatu,Marvel
Uatu,Earth-616
Aquaman,DC
Uncle Sam,DC
Vindicator,Marvel
Vindicator,Earth-616
Robert Kelly,Marvel
Robert Kelly,Earth-616
Falcon,Marvel
Blue Devil,DC
Lex Luthor,DC
Maxi-Man,DC
Garfield,Garfield
Abin Sur,DC
Bwana Beast,DC
Isamot Kol,DC
Robbie Robertson,Marvel
Robbie Robertson,Earth-616
Nick Fury,Marvel
Nick Fury,Earth-616
Microchip,Marvel
Microchip,Earth-616
Fulton Gearloose,Donald Duck
Ratchet Gearloose,Donald Duck
Seafoam McDuck,Donald Duck
Sodam Yat,DC
Vima Sunrider,Star Wars
Panacea,Asterix
Tom Manning,Hellboy
Vengeance,Marvel
Congorilla,DC
Dracula,Marvel
Dracula,Earth-616
Vanisher,Marvel
Shanna the She-Devil,Marvel
Ice,DC
Doctor Fate,DC
Galactus,Marvel
Galactus,Earth-616
Iron Lad,Marvel
Iron Lad,Earth-6311
Shazam,DC
Courtney Whitmore,DC Animated
Courtney Whitmore,DC
Courtney Whitmore,New Earth
Battle Cat,Masters of the Universe
Highfather,DC
Derek Powers,DC
Aang,World of Avatar
The Key,DC
Ted Kord,DC
Ray,DC
Blackheart,Marvel
Blackheart,Earth-616
Commander Cody,Star Wars
Moominmamma,Moomin world
Captain Rex,Star Wars
Captain Rex,Star Wars
Moomintroll,Moomin world
Commander Bacara,Star Wars
Commander Bacara,Star Wars
Commander Bly,Star Wars
Snork Maiden,Moomin world
Police Chief (Moomins character),Moomin world
Hemulen,Moomin world
Hunter,Star Wars
Crosshair,Star Wars
Echo,Star Wars
Wrecker,Star Wars
Omega,Star Wars
Cut Lawquane,Star Wars
Watto,Star Wars
Q1393712,Vattisen Yaly
Detective Casey,Mickey Mouse
King Lion,Forest
Infinity,Marvel
Infinity,Earth-616
Glory-Bee,Mickey Mouse
Robin the Frog,Muppets
Supreme Intelligence,Marvel
Supreme Intelligence,Earth-616
Dangerous Dan McBoo,Mickey Mouse
Lumpjaw,Forest
Q18238801,Mickey Mouse
Owl,Disney
Stinky Pete,Toy Story
Buttercup,Toy Story
Stretch,Toy Story
Madelene Olsson,Bert
Big Louie,Teenage Mutant Ninja Turtles
Famine,Teenage Mutant Ninja Turtles
Emily Boudica,Teenage Mutant Ninja Turtles
Oyuki Mashimi,Teenage Mutant Ninja Turtles
Harley Quinn,DC
Vigilante,DC
ShadowHawk,Image
Marlene McKinnon,Harry Potter
J.A.R.V.I.S.,Marvel Cinematic
Godspeed,DC
Friday,Marvel
Ultimate Spider-Woman,Marvel
Ultimate Spider-Man,Marvel
Emiko Queen,DC
Harrison Wells,Arrowverse
Cletus Kasady,Marvel
Cletus Kasady,Earth-616
Kathy Kane,DC
J.A.R.V.I.S.,Marvel
Supreme Intelligence,Marvel Cinematic
E.D.I.T.H.,Marvel Cinematic
Eobard Thawne,Arrowverse
Jean-Paul Valley,DC
Michael Lane,DC
Will Payton,DC
Ekko,League of Legends
Casey Jones,Teenage Mutant Ninja Turtles
Casey Jones,Teenage Mutant Ninja Turtles
Casey Jones,Teenage Mutant Ninja Turtles
Casey Jones,Teenage Mutant Ninja Turtles
Casey Jones,Teenage Mutant Ninja Turtles
Casey Jones,Teenage Mutant Ninja Turtles
Casey Jones,Teenage Mutant Ninja Turtles
Casey Jones,Teenage Mutant Ninja Turtles
Chronos,Space Jam
Alexandra Trese,Trese
Sylvia,Star Trek
Michael Morbius,Sony's Spider-Man
Mystique,Earth-10005
Mystique,Revised X-Men film series timeline
